中文文件名,位置,Session,资料类别,原始文件名,资料页面,PDF 直链,SHA256
第01讲 向量.pdf,第01讲 向量.pdf,1,精选讲义,38223d6ec70b12de9d01446438100b9d_MIT18_02SC_notes_0.pdf,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/resources/mit18_02sc_notes_0/,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/38223d6ec70b12de9d01446438100b9d_MIT18_02SC_notes_0.pdf,dcd73020f841d528a44c0abf1bf796c62cff41b514dc2bb162c26f891c9582e1
第06讲 空间中的体积与行列式.pdf,第06讲 空间中的体积与行列式.pdf,6,精选讲义,317eb93dbd9e833fbe51dfc6b2d3e034_MIT18_02SC_MNotes_d2.pdf,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/resources/mit18_02sc_mnotes_d2/,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/317eb93dbd9e833fbe51dfc6b2d3e034_MIT18_02SC_MNotes_d2.pdf,073ff84b06f0de20b394638ef636c8a7ba17bc73c5614d9e75d59f38173a781f
第13讲 线性方程组与平面.pdf,第13讲 线性方程组与平面.pdf,13,精选讲义,b75b75a77749292f4bb34d709e91379d_MIT18_02SC_notes_7.pdf,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/resources/mit18_02sc_notes_7/,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/b75b75a77749292f4bb34d709e91379d_MIT18_02SC_notes_7.pdf,a641cd48fce1c4bb5dffa91e1c02ea992612186f4df26fbadae6ef7502590f5f
第14讲 方阵方程组的解.pdf,第14讲 方阵方程组的解.pdf,14,精选讲义,ae721c48ce741018e1a3c2aefb6a8640_MIT18_02SC_MNotes_m3.pdf,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/resources/mit18_02sc_mnotes_m3/,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/ae721c48ce741018e1a3c2aefb6a8640_MIT18_02SC_MNotes_m3.pdf,26133326f221f068be92710987388959a2301e6d87f130af8949e2d5902b0c49
第18讲 摆线上的尖点.pdf,第18讲 摆线上的尖点.pdf,18,精选讲义,bca8693ceb5b6b22e5aeadb272a9d9a6_MIT18_02SC_notes_10.pdf,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/resources/mit18_02sc_notes_10/,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/bca8693ceb5b6b22e5aeadb272a9d9a6_MIT18_02SC_notes_10.pdf,18b545adfe515344a677936bfcd3542cc887b24ebac3e61417e0c7ff3dbecc1c
第20讲 速度与弧长.pdf,第20讲 速度与弧长.pdf,20,精选讲义,ef470e8dbb5076a408d8af686bce3711_MIT18_02SC_notes_12.pdf,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/resources/mit18_02sc_notes_12/,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/ef470e8dbb5076a408d8af686bce3711_MIT18_02SC_notes_12.pdf,ef368be4bad3e14dc0a11b25ae893210f6bca3df71428de7628f41985d2c2901
第21讲 开普勒第二定律.pdf,第21讲 开普勒第二定律.pdf,21,精选讲义,040b72c08d4f0ef67faf085066e1cc71_MIT18_02SC_MNotes_k.pdf,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/resources/mit18_02sc_mnotes_k/,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/040b72c08d4f0ef67faf085066e1cc71_MIT18_02SC_MNotes_k.pdf,fe895f0c9bd8f637e9d0fcae05d425b304473978c8e2302112d07bdf11e5a645
第24讲 二元函数图像图集.pdf,第24讲 二元函数图像图集.pdf,24,精选讲义,837e7b105450ed2a79f20ca45c524848_MIT18_02SC_notes_14.pdf,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/resources/mit18_02sc_notes_14/,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/837e7b105450ed2a79f20ca45c524848_MIT18_02SC_notes_14.pdf,52a809cd569e2448d4e7cebf7e99c9271038350d238c22e17f69e6486878f435
第24讲 二元函数与图像.pdf,第24讲 二元函数与图像.pdf,24,精选讲义,68e54de412d9ab63d40838c414467472_MIT18_02SC_notes_13.pdf,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/resources/mit18_02sc_notes_13/,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/68e54de412d9ab63d40838c414467472_MIT18_02SC_notes_13.pdf,2548b14deb70e492f47e4a4e192c39db36f7d83d01df1e508f1b7a3de0beeccb
第26讲 偏导数.pdf,第26讲 偏导数.pdf,26,精选讲义,3299372c0b77500ada4ea558fea4db80_MIT18_02SC_MNotes_ta1.pdf,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/resources/mit18_02sc_mnotes_ta1/,https://ocw.mit.edu/courses/18-02sc-multivariable-calculus-fall-2010/3299372c0b77500ada4ea558fea4db80_MIT18_02SC_MNotes_ta1.pdf,133d4b37787f65c75d4215762f28e03f629503ed7456e8b0c8d95655ce088cd9
